county,office,district,candidate,party,county_votes,precinct_votes,diff
Turner,Public Utilities Commissioner,,Kristie Fiegen,REP,3473,3563,-90
Turner,Public Utilities Commissioner,,Wilson,DEM,0,691,-691
Turner,Referred Law 21,,No,,3068,0,3068
Turner,Referred Law 21,,Yes,,1362,0,1362
Turner,State House,16,Karla J Lems,REP,2471,4942,-2471
Turner,State House,16,Matthew Carl Ness,DEM,870,1740,-870
Turner,State House,16,Richard Vasgaard,REP,2734,5468,-2734
Turner,State House,19,Drew Peterson,REP,194,388,-194
Turner,State House,19,Jessica Bahmuller,REP,176,352,-176
Turner,State House,20,Jeff Bathke,REP,0,43,-43
Turner,State House,20,Kaley Nolz,REP,0,55,-55
Turner,State House,8,Greg Zimmerman,LIB,0,144,-144
Turner,State House,8,Tim Reisch,REP,0,1001,-1001
Turner,State House,8,Tim Walburg,REP,0,729,-729
Turner,State Senate,16,Kevin D. Jensen,REP,3135,0,3135
Turner,State Senate,19,Kevin D. Jensen,REP,0,6234,-6234
Turner,State Senate,19,Kyle Schoenfish,REP,209,418,-209
Turner,State Senate,19,Michael J. Miller,IND,102,204,-102
Turner,State Senate,20,Paul Miskimins,REP,0,52,-52
Turner,State Senate,8,Casey Crabtree,REP,0,837,-837
Turner,Supreme Court Retention,5,Yes,,3070,3130,-60
Turner,Supreme Court Retention: Shall Justice Scott P. Myren...,5,No,,0,165,-165
Turner,Supreme Court Retention: Shall Justice Scott P. Myren...,5,Yes,,0,770,-770
Turner,U.S. House,1,Dusty Johnson,REP,3688,3686,2
Union,Constitutional Amendment E,,No,,4917,4276,641
Union,Constitutional Amendment E,,Yes,,3773,3904,-131
Union,Constitutional Amendment F,,No,,3083,3288,-205
Union,Constitutional Amendment F,,Yes,,5582,4507,1075
Union,Constitutional Amendment G,,No,,5158,4425,733
Union,Constitutional Amendment G,,Yes,,3619,4144,-525
Union,Constitutional Amendment H,,No,,5343,4682,661
Union,Constitutional Amendment H,,Yes,,2962,2987,-25
Union,Initiated Measure 28,,No,,5298,5522,-224
Union,Initiated Measure 28,,Yes,,3280,3010,270
Union,President,,Chase Oliver and Mike ter Maat,LIB,56,75,-19
Union,President,,Donald J. Trump and JD Vance,REP,6160,10239,-4079
Union,President,,Kamala D. Harris and Tim Walz,DEM,2548,4343,-1795
Union,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,112,185,-73
Union,Public Utilities Commissioner,,A. Gideon Oakes,LIB,380,371,9
Union,Public Utilities Commissioner,,Forrest Wilson,DEM,1918,2018,-100
Union,Referred Law 21,,No,,3901,3601,300
Union,State House,16,Karla J Lems,REP,1379,0,1379
Union,State House,16,Karla J. Lems,REP,0,4146,-4146
Union,State House,16,Karla Lems,REP,0,2433,-2433
Union,State House,16,Matthew Carl Ness,DEM,629,0,629
Union,State House,16,Matthew Ness,DEM,0,1894,-1894
Union,State House,16,Richard Vasgaard,REP,1388,4372,-2984
Union,State House,17,Chris Kassin,REP,3915,6912,-2997
Union,State House,17,Ray Ring,DEM,1529,2474,-945
Union,State House,17,William (Bill) Shorma,REP,3660,6231,-2571
Union,State Senate,16,Kevin D. Jensen,REP,1715,8764,-7049
Union,State Senate,17,Sydney Davis,REP,4702,13361,-8659
Union,Supreme Court Retention,5,No,,1373,1323,50
Union,Supreme Court Retention,5,Yes,,5855,5864,-9
Union,U.S. House,1,Dusty Johnson,REP,6650,6640,10
Walworth,Constitutional Amendment E,,No,,1602,3080,-1478
Walworth,Constitutional Amendment E,,Yes,,793,1551,-758
Walworth,Constitutional Amendment F,,No,,955,1835,-880
Walworth,Constitutional Amendment F,,Yes,,1457,2789,-1332
Walworth,Constitutional Amendment G,,No,,1787,3437,-1650
Walworth,Constitutional Amendment G,,Yes,,637,1240,-603
Walworth,Constitutional Amendment H,,No,,1753,3325,-1572
Walworth,Constitutional Amendment H,,Yes,,633,1239,-606
Walworth,President,,Chase Oliver and Mike Maat,LIB,0,15,-15
Walworth,President,,Chase Oliver and Mike ter Maat,LIB,16,15,1
Walworth,President,,Donald J. Trump and JD Vance,REP,1940,1970,-30
Walworth,President,,Kamala D. Harris and Tim Walz,DEM,481,509,-28
Walworth,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,29,34,-5
Walworth,Referred Law 21,,Yes,,719,722,-3
Walworth,Supreme Court Retention,5,No,,307,578,-271
Walworth,Supreme Court Retention,5,Yes,,1891,3656,-1765
Yankton,Constitutional Amendment F,,No,,4926,4626,300
Yankton,President,,Chase Oliver and Mike Ter Maat,LIB,0,80,-80
Yankton,President,,Donald J. Trump and JD Vance,REP,6550,7019,-469
Yankton,President,,Kamala D. Harris and Tim Walz,DEM,3883,3982,-99
Yankton,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,220,231,-11
Yankton,Public Utilities Commissioner,,Forrest Wilson,DEM,2282,2828,-546
Yankton,State Senate,18,Sarah Carad,DEM,0,4519,-4519
Yankton,State Senate,18,Sarah Carda,DEM,4519,0,4519
Yankton,State Senate,18,Sarah Cardal,DEM,0,4519,-4519
Ziebach,Constitutional Amendment G,,No,,423,421,2
Ziebach,Constitutional Amendment H,,No,,510,0,510
Ziebach,Constitutional Amendment H,,Yes,,263,247,16
Ziebach,County Commissioner At Large,,Bill Henderson,DEM,0,363,-363
Ziebach,County Commissioner At Large,,David E. Pesicka,IND,0,211,-211
Ziebach,County Commissioner At Large,,David Holmes,IND,0,208,-208
Ziebach,County Commissioner At Large,,Lane Dalton Eaton,IND,0,72,-72
Ziebach,County Commissioner At Large,,Lee Brooks,IND,0,212,-212
Ziebach,Initiated Measure 28,,No,,484,0,484
Ziebach,Initiated Measure 28,,Yes,,288,0,288
Ziebach,Initiated Measure 29,,No,,387,0,387
Ziebach,Initiated Measure 29,,Yes,,395,0,395
Ziebach,President,,Chase Oliver and Mike ter Maat,LIB,4,8,-4
Ziebach,President,,Donald J. Trump and JD Vance,REP,388,776,-388
Ziebach,President,,Kamala D. Harris and Tim Walz,DEM,366,732,-366
Ziebach,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,23,0,23
Ziebach,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",,0,46,-46
Ziebach,Public Utilities Commissioner,,A. Gideon Oakes,LIB,48,90,-42
Ziebach,Public Utilities Commissioner,,Forrest C. Wilson,DEM,0,328,-328
Ziebach,Public Utilities Commissioner,,Kristie Fiegen,REP,363,643,-280
Ziebach,Referred Law 21,,No,,509,0,509
Ziebach,Referred Law 21,,Yes,,262,0,262
Ziebach,State Senate,28,Dean Schrempp,DEM,293,399,-106
Ziebach,State Senate,28,Sam Marty,REP,244,374,-130
Ziebach,State Senate,28,Shane C. Farlee,IND,247,385,-138
Ziebach,Supreme Court Retention,Fifth,No,,0,254,-254
Ziebach,Supreme Court Retention,Fifth,Yes,,0,454,-454
